20488 7.56266 2957 391
20494 7.46531 159989 21431
20495 7.44866 38517 5171
20496 7.49434 71556 9548
20497 7.48525 125056 16707
20498 7.43487 45033 6057
20499 7.43401 82852 11145
20500 7.20013 57205 7945
20501 7.53767 15309 2031
20515 7.53463 73749 9788
20516 7.50285 13160 1754
20517 7.38819 148739 20132
20518 7.22367 31004 4292
20519 7.30716 72034 9858
20520 7.3845 137433 18611
20521 7.38745 27075 3665
20525 7.43311 15669 2108
20530 7.45463 140147 18800
20531 7.26794 28454 3915
20613 0 0 5464
20614 0 0 25787
20615 0 0 17809
20616 0 0 1146
20617 0 0 25088
20618 0 0 24861
20619 0 0 27250
20620 0 0 2112
20624 0 0 6212
20625 0 0 494
20626 0 0 2260
20627 0 0 20847
20640 0 0 5458
20641 0 0 1233
20642 0 0 969
20694 0 0 20346
20695 0 0 18572
